Annee,Lieux,Nom,Prénom,Sexe,Pays,Sport,Épreuve,Collectif,Force,Endurance,Agilite
2028,Etats-Unis,Lange,Sophie,M,Japon,Escrime,Escrime,false,5,15,5
2032,Australie,Zhang,Xia,M,Kenya,HandBall,HandBall,false,9,17,10
2028,Etats-Unis,Yamaguchi,Yuna,F,Australie,generic,generic,false,12,19,18
2032,Australie,Schulze,Marie,F,Australie,Athletisme,Athletisme,false,14,5,9
2032,Australie,Yang,Liu,M,Brésil,generic,generic,false,10,7,13
2024,France,Fujita,Aoi,F,Australie,Handball,Handball,true,9,14,16
2032,Australie,Moreau,Manon,F,Chine,Escrime,Escrime,false,1,7,20
2032,Australie,Saito,Kokoro,M,France,HandBall,HandBall,false,12,12,11
2024,France,Yang,Xin,F,Chine,Handball,Handball,true,14,6,16
2028,Etats-Unis,Martin,Gabin,F,Japon,Handball,Handball,true,10,16,13
2032,Australie,Barbier,Théo,F,Chine,generic,generic,false,10,3,6
2032,Australie,Giraud,Sarah,M,Japon,HandBall,HandBall,false,18,3,5
2032,Australie,Sakamoto,Takumi,F,France,Handball,Handball,true,3,13,2
2028,Etats-Unis,Fujita,Yuki,F,USA,Natation,ralais libre,false,1,19,18
2032,Australie,Rousseau,Louise,F,Kenya,Handball,Handball,true,17,15,4
2028,Etats-Unis,Wang,Sun,F,Maroc,Escrime,Escrime,false,11,10,5
2024,France,Guerin,Gabin,F,USA,Handball,Handball,true,13,9,7
2024,France,Tanaka,Asuka,F,Brésil,Handball,Handball,true,14,20,15
2032,Australie,Ito,Sosuke,F,Maroc,Athletisme,Athletisme,false,7,1,5
2028,Etats-Unis,Yang,Wu,M,Japon,Handball,Handball,true,15,9,3
2032,Australie,Shimizu,Yuna,F,France,HandBall,HandBall,false,10,12,7
2032,Australie,Suzuki,Sora,M,Maroc,generic,generic,false,13,20,14
2028,Etats-Unis,Morel,Zoé,M,Kenya,HandBall,HandBall,false,15,11,1
2028,Etats-Unis,Zhao,Ling,M,Australie,Escrime,Escrime,false,1,13,8
2024,France,Guo,Lan,F,Japon,Athletisme,Athletisme,false,14,19,14
2024,France,Klein,Lena,F,Japon,Natation,100 brasse,false,19,10,10
2028,Etats-Unis,Ma,Huang,M,Brésil,HandBall,HandBall,false,13,14,13
2028,Etats-Unis,Murakami,Mio,F,Allemagne,Athletisme,Athletisme,false,14,2,15
2028,Etats-Unis,Suzuki,Haruto,F,Maroc,Athletisme,Athletisme,false,16,6,7
2028,Etats-Unis,Richard,Noé,F,Japon,Escrime,Escrime,false,14,1,6
2028,Etats-Unis,Perez,Jules,F,USA,HandBall,HandBall,false,7,6,8
2032,Australie,Gao,Min,M,Japon,Handball,Handball,true,14,5,14
2032,Australie,Krüger,Finn,M,Turquie,Natation,100 brasse,false,18,9,12
2028,Etats-Unis,Fontaine,Sacha,F,Brésil,Escrime,Escrime,false,5,6,13
2028,Etats-Unis,Takahashi,Shiori,F,Maroc,Athletisme,Athletisme,false,20,9,7
2028,Etats-Unis,Lin,Chen,F,Turquie,generic,generic,false,9,2,6
2032,Australie,Simon,Juliette,F,Maroc,HandBall,HandBall,false,2,14,14
2024,France,Yoshida,Hiroshi,M,USA,Escrime,Escrime,false,8,14,19
2024,France,Suzuki,Hiroshi,M,Maroc,HandBall,HandBall,false,20,4,17
2024,France,Huang,Guo,F,USA,Handball,Handball,true,20,20,14
2024,France,Watanabe,Ryota,M,USA,Handball,Handball,true,11,13,8
2032,Australie,Moreau,Hugo,M,Allemagne,Athletisme,Athletisme,false,19,7,15
2032,Australie,Vincent,Emma,F,Kenya,Natation,100 brasse,false,4,16,6
2024,France,Bauer,David,M,France,Natation,100 brasse,false,13,17,3
2024,France,Robert,Nolan,M,USA,Athletisme,Athletisme,false,10,14,4
2024,France,Klein,David,F,Australie,Escrime,Escrime,false,18,3,2
2024,France,Mercier,Manon,F,Chine,generic,generic,false,12,17,1
2028,Etats-Unis,Braun,David,F,Maroc,Handball,Handball,true,4,17,6
2024,France,Lin,Ma,M,Allemagne,HandBall,HandBall,false,19,15,10
2028,Etats-Unis,Laurent,Gabin,F,France,HandBall,HandBall,false,6,9,13
2024,France,Lange,Laura,M,Chine,Natation,ralais libre,false,2,19,1
2024,France,Martin,Nolan,M,Kenya,Natation,100 brasse,false,18,17,14
2032,Australie,Ishikawa,Naoki,F,USA,Handball,Handball,true,14,8,11
